,text,top,bottom,left,right
641,1,2280,2317,1309,1320
642,8,2280,2317,1333,1350
643,1,2095,2142,2131,2143
644,0,2095,2142,2165,2188
645,0,2094,2141,2191,2216
646,0,2094,2141,2219,2242
647,5,2151,2196,2072,2093
648,3,2151,2196,2100,2121
649,0,2151,2196,2126,2151
650,7,2151,2196,2168,2189
651,2,2151,2196,2192,2215
652,9,2151,2196,2220,2243
653,2,2217,2273,2073,2094
654,0,2217,2273,2099,2122
655,0,2217,2273,2127,2150
656,0,2217,2273,2167,2188
657,0,2217,2273,2193,2216
658,0,2217,2273,2221,2242
659,2,2278,2319,2069,2092
660,0,2278,2319,2097,2122
661,0,2278,2319,2125,2148
662,7,2278,2319,2167,2186
663,8,2278,2319,2193,2214
664,1,2278,2319,2227,2236
665,9,2344,2383,2071,2094
666,3,2344,2383,2099,2120
667,2,2344,2383,2125,2148
668,5,2344,2383,2167,2186
669,1,2344,2383,2199,2206
670,0,2344,2383,2219,2244
671,1,2093,2134,2934,2945
672,0,2093,2134,2966,2991
673,0,2093,2134,2994,3017
674,0,2093,2134,3020,3043
675,5,2157,2204,2872,2891
676,4,2157,2204,2896,2921
677,3,2157,2204,2926,2945
678,9,2157,2204,2966,2989
679,6,2156,2203,2992,3015
680,8,2156,2203,3020,3041
681,2,2215,2271,2869,2894
682,0,2215,2271,2898,2922
683,0,2215,2271,2926,2948
684,0,2214,2270,2966,2990
685,0,2214,2270,2992,3016
686,0,2213,2269,3018,3042
687,3,2276,2323,2871,2897
688,2,2276,2323,2901,2920
689,3,2276,2323,2932,2950
690,7,2275,2322,2973,2989
691,9,2275,2322,2996,3016
692,9,2275,2322,3024,3043
693,1,2345,2386,2838,2847
694,0,2345,2386,2870,2895
695,6,2345,2386,2898,2923
696,8,2345,2386,2926,2949
697,7,2345,2386,2968,2991
698,6,2345,2386,2994,3017
699,7,2345,2386,3022,3043
700,T,2469,2524,204,233
701,h,2469,2524,236,259
702,e,2469,2524,264,283
703,f,2469,2524,302,321
704,i,2469,2524,323,334
705,n,2469,2524,336,353
706,a,2469,2524,365,384
707,n,2469,2524,387,405
708,c,2469,2524,417,436
709,i,2469,2524,445,456
710,a,2469,2524,454,467
711,l,2469,2524,476,485
712,s,2469,2524,506,519
713,t,2469,2524,522,535
714,a,2469,2524,538,559
715,t,2469,2524,562,575
716,e,2469,2524,578,597
717,m,2469,2524,602,639
718,e,2469,2524,644,665
719,n,2469,2524,670,691
720,t,2469,2524,696,707
721,s,2469,2524,712,725
722,w,2469,2524,744,779
723,e,2469,2524,784,803
724,r,2469,2524,808,823
725,e,2469,2524,826,845
726,a,2469,2524,864,885
727,p,2469,2524,894,911
728,p,2469,2524,915,934
729,r,2469,2524,946,963
730,o,2469,2524,964,980
731,v,2469,2524,991,1010
732,e,2469,2524,1016,1032
733,d,2469,2524,1040,1059
734,b,2469,2524,1078,1101
735,y,2469,2524,1106,1129
736,t,2469,2524,1144,1157
737,h,2469,2524,1160,1183
738,e,2469,2524,1188,1207
739,B,2469,2524,1224,1252
740,o,2469,2524,1262,1283
741,a,2469,2524,1293,1312
742,r,2469,2524,1319,1331
743,d,2469,2524,1337,1351
744,o,2469,2524,1370,1393
745,f,2469,2524,1398,1417
746,D,2469,2524,1428,1463
747,i,2469,2524,1470,1477
748,r,2469,2524,1484,1499
749,e,2469,2524,1502,1521
750,c,2469,2524,1526,1545
751,t,2469,2524,1548,1559
752,o,2469,2524,1564,1585
753,r,2469,2524,1590,1607
754,s,2469,2524,1610,1625
755,o,2469,2524,1644,1667
756,n,2469,2524,1672,1693
757,1,2469,2524,1720,1729
758,3,2469,2524,1740,1757
759,D,2469,2524,1778,1809
760,e,2469,2524,1821,1840
761,c,2469,2524,1843,1861
762,e,2469,2524,1874,1891
763,m,2469,2524,1889,1912
764,b,2469,2524,1933,1959
765,e,2469,2524,1967,1982
766,r,2469,2524,1987,1999
767,2,2469,2524,2014,2037
768,0,2469,2524,2042,2065
769,1,2469,2524,2076,2085
770,8,2469,2524,2098,2117
771,a,2469,2524,2138,2159
772,n,2469,2524,2164,2183
773,d,2469,2524,2188,2209
774,w,2469,2524,2230,2259
775,e,2469,2524,2272,2292
776,r,2469,2524,2299,2311
777,e,2469,2524,2317,2331
778,s,2469,2524,2348,2367
779,i,2469,2524,2372,2377
