, CompanyNumber,CompanyName,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,numberPrevNameChanges,NumberOfIndustires,PrimaryIndustry
2024,00541366,CALVERTON PRODUCTS P.L.C.,1.0,0.0,0.0,1.0,0,1,7484 - Other business activities
2025,NI005165,CAM ENTERPRISES LIMITED,0.0,0.0,0.0,0.0,0,1,99999 - Dormant Company
2026,02224124,CAMBRIDGE ALUMINIUM SYSTEMS LIMITED,1.0,1.0,0.0,0.0,0,1,None Supplied
2027,FC013220,CAMELOT COURT LIMITED,4.0,4.0,0.0,0.0,0,1,None Supplied
2028,01136043,CAMEO TRADITIONAL FURNITURE LIMITED,3.0,3.0,0.0,0.0,0,1,7499 - Non-trading company
2029,01077824,CAMERON CONSTRUCTION LIMITED,4.0,4.0,0.0,0.0,0,1,4521 - Gen construction & civil engineer
2030,07359023,CAMM & HOOPER LIMITED,4.0,4.0,0.0,0.0,2,3,56101 - Licensed restaurants
2031,SC164130,CAMPBELL & KENNEDY LIMITED,3.0,1.0,0.0,2.0,0,1,43210 - Electrical installation
2032,SC190523,CAMPBELL DALLAS FINANCIAL SERVICES LTD,3.0,0.0,0.0,3.0,0,1,64999 - Financial intermediation not elsewhere classified
2033,09511818,CANAVERAL BIDCO LIMITED,1.0,1.0,0.0,0.0,0,1,64209 - Activities of other holding companies n.e.c.
2034,01478153,CANDOVER SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,64999 - Financial intermediation not elsewhere classified
2035,04836872,CANDU ENTERTAINMENT LIMITED,8.0,5.0,0.0,3.0,3,1,5225 - Retail alcoholic & other beverages
2036,05817189,CAPARO ATLAS FASTENINGS LIMITED,6.0,2.0,0.0,4.0,0,1,"25930 - Manufacture of wire products, chain and springs"
2037,03450375,CAPARO ENGINEERING LIMITED,9.0,7.0,0.0,2.0,0,3,24510 - Casting of iron
2038,02291712,CAPCIS LIMITED,5.0,0.0,0.0,5.0,0,2,72190 - Other research and experimental development on natural sciences and engineering
2039,04130898,CAPITA AURORA LIMITED,0.0,0.0,0.0,0.0,2,1,82990 - Other business support service activities n.e.c.
2040,09503007,CAPITA BUILDING STANDARDS LIMITED,0.0,0.0,0.0,0.0,1,1,84110 - General public administration activities
2041,04436428,CAPITA GWENT CONSULTANCY LIMITED,0.0,0.0,0.0,0.0,1,1,82990 - Other business support service activities n.e.c.
2042,00836962,CAPITAL BANK LEASING 3 LIMITED,8.0,0.0,0.0,8.0,0,1,64910 - Financial leasing
2043,SC168189,CAPITAL COOLING LIMITED,6.0,2.0,0.0,4.0,0,4,33190 - Repair of other equipment
2044,07529108,CAPITAL PUB COMPANY TRADING LIMITED,4.0,1.0,0.0,3.0,0,1,56302 - Public houses and bars
2045,OC318682,CAPITAL SHIPBROKERS LLP,0.0,0.0,0.0,0.0,0,1,None Supplied
2046,07171102,CAPITAN FILMS LIMITED,26.0,26.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.
2047,SC328420,CAPRICORN GREENLAND EXPLORATION 1 LIMITED,0.0,0.0,0.0,0.0,0,1,06100 - Extraction of crude petroleum
2048,02068233,CAPRICROWN LIMITED,14.0,0.0,0.0,14.0,0,1,68100 - Buying and selling of own real estate
2049,SC358532,CAPROCK COMMUNICATIONS INTERNATIONAL LIMITED,0.0,0.0,0.0,0.0,0,1,61900 - Other telecommunications activities
2050,00120427,CARBORUNDUM U.K. LTD.,0.0,0.0,0.0,0.0,0,1,7499 - Non-trading company
2051,03678499,CARDALES UK LIMITED,3.0,0.0,0.0,3.0,1,1,74990 - Non-trading company
2052,00179894,"CARDIFF ELECTRICAL REPAIRS,LIMITED",4.0,3.0,0.0,1.0,0,1,"3110 - Manufacture electric motors, generators etc."
2053,04714467,CARDINAL SECURITY LIMITED,8.0,6.0,0.0,2.0,1,1,80100 - Private security activities
2054,02419462,CARDINAL SHOPFITTING + SYSTEMS LIMITED,9.0,3.0,0.0,6.0,0,2,25990 - Manufacture of other fabricated metal products n.e.c.
2055,02374847,CARERS TRUST SWANSEA BAY CROSSROADS CARE SERVICE,0.0,0.0,0.0,0.0,2,1,88100 - Social work activities without accommodation for the elderly and disabled
2056,01367044,CARILLION (AM) LIMITED,2.0,0.0,0.0,2.0,1,1,70100 - Activities of head offices
2057,SC020258,CARILLION (AMBS) LIMITED,6.0,1.0,0.0,5.0,3,1,82990 - Other business support service activities n.e.c.
2058,03256112,CARILLION (DENMARK) LIMITED,0.0,0.0,0.0,0.0,0,1,41201 - Construction of commercial buildings
2059,00885404,CARILLION AM GOVERNMENT LIMITED,0.0,0.0,0.0,0.0,3,2,41201 - Construction of commercial buildings
2060,01122808,CARILLION ASSET MANAGEMENT LIMITED,0.0,0.0,0.0,0.0,3,1,43999 - Other specialised construction activities n.e.c.
2061,00594581,CARILLION CONSTRUCTION LIMITED,17.0,3.0,0.0,14.0,0,1,41201 - Construction of commercial buildings
2062,03858865,CARILLION ENERGY SERVICES LIMITED,4.0,1.0,0.0,3.0,1,1,70229 - Management consultancy activities other than financial management
2063,00537677,CARILLION FLEET MANAGEMENT LIMITED,1.0,1.0,0.0,0.0,0,1,96090 - Other service activities n.e.c.
2064,03783019,CARILLION HOLDINGS LIMITED,0.0,0.0,0.0,0.0,0,1,70100 - Activities of head offices
2065,03679838,CARILLION INTEGRATED SERVICES LIMITED,2.0,1.0,0.0,1.0,2,1,96090 - Other service activities n.e.c.
2066,00077628,CARILLION JM LIMITED,7.0,2.0,0.0,5.0,2,3,41201 - Construction of commercial buildings
2067,03198709,CARILLION LGS LIMITED,1.0,1.0,0.0,0.0,1,1,42110 - Construction of roads and motorways
2068,00398443,CARILLION MENA LIMITED,0.0,0.0,0.0,0.0,2,1,41201 - Construction of commercial buildings
2069,08884783,CARILLION POWERLINES LIMITED,0.0,0.0,0.0,0.0,0,1,43290 - Other construction installation
2070,01417540,CARILLION PROJECT INVESTMENTS LIMITED,1.0,0.0,0.0,1.0,4,1,74990 - Non-trading company
2071,02684154,CARILLION SERVICES 2006 LIMITED,1.0,1.0,0.0,0.0,3,1,41201 - Construction of commercial buildings
2072,03011791,CARILLION SERVICES LIMITED,1.0,1.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.
2073,02574792,CARILLION SPECIALIST SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,71129 - Other engineering activities
2074,02294384,CARILLION SWINDON LIMITED,0.0,0.0,0.0,0.0,0,1,41201 - Construction of commercial buildings
2075,00728599,CARILLION UTILITY SERVICES LIMITED,5.0,1.0,0.0,4.0,5,2,41201 - Construction of commercial buildings
2076,02355338,CARILLION UTILITY SERVICES S.E. LIMITED,3.0,0.0,0.0,3.0,2,1,43210 - Electrical installation
2077,SC173140,CARLINA RESPONSIVE ADVERTISING LIMITED,0.0,0.0,0.0,0.0,0,1,7487 - Other business activities
2078,03561328,CARMELITE FINANCE LIMITED,4.0,0.0,0.0,4.0,1,1,70100 - Activities of head offices
2079,SC147210,CARPE DIEM SOLUTIONS LIMITED,2.0,2.0,0.0,0.0,0,4,7210 - Hardware consultancy
2080,06236775,CARRAWAY BELFAST VENTURES GENERAL PARTNER LIMITED,0.0,0.0,0.0,0.0,1,1,82990 - Other business support service activities n.e.c.
2081,01329992,CARRIER SERVICE LIMITED,3.0,0.0,0.0,3.0,0,1,7487 - Other business activities
2082,00200934,CARRINGTON WIRE LIMITED,24.0,1.0,0.0,23.0,0,1,"25930 - Manufacture of wire products, chain and springs"
2083,00517253,CARRS PAPER LIMITED,11.0,11.0,0.0,0.0,0,2,2112 - Manufacture of paper & paperboard
